iters	cpu_mid	delta_min_cpu	delta_max_cpu
95,800	0.06925955	0.81687635	0.81687635
248,100	-0.0244445	0.8712066	0.8712066
496,200	-0.06566835	0.96862765	0.96862765
191,600	0.4132868	0.8169582	0.8169582
496,200	0.5062251	0.8712279	0.8712279
992,400	0.612375	0.968591	0.968591
287,400	0.760635705	0.816955295	0.816955295
744,300	1.09609575	0.87123225	0.87123225
1,488,600	1.5083081	0.9685769	0.9685769
958,000	3.4651935	0.8169465	0.8169465
2,482,000	7.467581	0.871235	0.871235
4,962,000	18.73499	0.96855	0.96855
