iters	cuda_mid	delta_min_cuda	delta_max_cuda
95,800	0.06934595	0.81687715	0.81687715
241,100	-0.0229675	0.8716528	0.8716528
485,400	-0.06259425	0.96862675	0.96862675
191,600	0.4131452	0.8169578	0.8169578
482,200	0.49744275	0.87165125	0.87165125
970,800	0.60448935	0.96858065	0.96858065
287,400	0.76094426	0.81695474	0.81695474
723,300	1.07422145	0.87163755	0.87163755
1,456,200	1.4805324	0.9685666	0.9685666
958,000	3.462629	0.816941	0.816941
2,411,000	7.126681	0.871568	0.871568
4,854,000	17.877705	0.968495	0.968495
